number,link,treatment,pot,focal,background_T,background_R,background_H,fruit_number,Notes,mean_weigthxseed,mean_seedsxfruit,total_seeds,total_seed_weigth
183,NL,NO_P,14,H,3,0,0,1,NA,1.242829487,2.793103448,2.793103448,3.4714
184,NL,NO_P,13,H,0,0,3,1,NA,1.242829487,2.793103448,2.793103448,3.4714
185,NL,NO_P,14,H,2,0,0,3,NA,1.242829487,2.793103448,8.379310345,10.4142
186,NL,NO_P,13,H,0,0,1,1,NA,1.242829487,2.793103448,2.793103448,3.4714
187,NL,NO_P,13,H,0,1,0,1,NA,1.242829487,2.793103448,2.793103448,3.4714
188,NL,NO_P,14,H,1,0,0,1,NA,1.242829487,2.793103448,2.793103448,3.4714
189,NL,NO_P,13,H,0,0,2,2,NA,1.242829487,2.793103448,5.586206897,6.9428
190,NL,NO_P,13,H,0,3,0,1,NA,1.242829487,2.793103448,2.793103448,3.4714
191,NL,NO_P,14,H,0,2,0,3,NA,1.242829487,2.793103448,8.379310345,10.4142
192,NL,NO_P,13,H,0,2,0,1,NA,1.242829487,2.793103448,2.793103448,3.4714
193,NL,NO_P,13,H,3,0,0,1,NA,1.242829487,2.793103448,2.793103448,3.4714
194,NL,NO_P,14,H,0,1,0,3,NA,1.242829487,2.793103448,8.379310345,10.4142
195,NL,NO_P,14,H,2,0,0,1,NA,1.242829487,2.793103448,2.793103448,3.4714
196,NL,NO_P,13,H,1,0,0,6,NA,1.242829487,2.793103448,16.75862069,20.8284
197,NL,NO_P,13,H,3,0,0,6,NA,1.242829487,2.793103448,16.75862069,20.8284
198,NL,NO_P,14,H,2,0,0,1,NA,1.242829487,2.793103448,2.793103448,3.4714
199,NL,NO_P,14,H,2,0,0,2,NA,1.242829487,2.793103448,5.586206897,6.9428
200,NL,NO_P,14,H,1,0,0,1,NA,1.242829487,2.793103448,2.793103448,3.4714
201,NL,NO_P,13,H,0,3,0,3,NA,1.242829487,2.793103448,8.379310345,10.4142
202,NL,NO_P,14,H,1,0,0,2,NA,1.242829487,2.793103448,5.586206897,6.9428
203,NL,NO_P,14,H,0,0,2,2,NA,1.242829487,2.793103448,5.586206897,6.9428
204,NL,NO_P,14,H,1,0,0,2,NA,1.242829487,2.793103448,5.586206897,6.9428
205,NL,NO_P,14,H,0,0,1,2,NA,1.242829487,2.793103448,5.586206897,6.9428
206,NL,NO_P,14,H,0,0,3,1,NA,1.242829487,2.793103448,2.793103448,3.4714
207,NL,NO_P,13,H,0,2,0,3,NA,1.242829487,2.793103448,8.379310345,10.4142
208,NL,NO_P,13,H,0,1,0,1,NA,1.242829487,2.793103448,2.793103448,3.4714
209,NL,NO_P,13,H,0,3,0,2,NA,1.242829487,2.793103448,5.586206897,6.9428
210,NL,NO_P,15,H,1,0,0,3,NA,1.242829487,2.793103448,8.379310345,10.4142
