year,species,treatment,measure,value
2017,Bombus_terrestris,B_low,initial_weight,319
2017,Bombus_terrestris,BF_x,initial_weight,282
2017,Bombus_terrestris,BB_x,initial_weight,305
2017,Bombus_terrestris,BB_x,initial_weight,307
2017,Bombus_terrestris,OB_x,initial_weight,315
2017,Bombus_terrestris,OB,initial_weight,284
2017,Bombus_terrestris,B,initial_weight,294
2017,Bombus_terrestris,B_x,initial_weight,291
2017,Bombus_terrestris,BF,initial_weight,246
2017,Bombus_terrestris,BB,initial_weight,301
2017,Bombus_terrestris,BB,initial_weight,315
2017,Bombus_terrestris,B_low,final_weight,263
2017,Bombus_terrestris,BF_x,final_weight,173
2017,Bombus_terrestris,BB_x,final_weight,172
2017,Bombus_terrestris,BB_x,final_weight,160
2017,Bombus_terrestris,OB_x,final_weight,170
2017,Bombus_terrestris,OB,final_weight,196
2017,Bombus_terrestris,B,final_weight,224
2017,Bombus_terrestris,B_x,final_weight,177
2017,Bombus_terrestris,BF,final_weight,181
2017,Bombus_terrestris,BB,final_weight,169
2017,Bombus_terrestris,BB,final_weight,165
2017,Bombus_terrestris,B_low,Bombus_outside,0
2017,Bombus_terrestris,BF_x,Bombus_outside,1
2017,Bombus_terrestris,BB_x,Bombus_outside,3
2017,Bombus_terrestris,BB_x,Bombus_outside,3
2017,Bombus_terrestris,OB_x,Bombus_outside,3
2017,Bombus_terrestris,OB,Bombus_outside,5
2017,Bombus_terrestris,B,Bombus_outside,6
2017,Bombus_terrestris,B_x,Bombus_outside,7
2017,Bombus_terrestris,BF,Bombus_outside,4
2017,Bombus_terrestris,BB,Bombus_outside,6
2017,Bombus_terrestris,BB,Bombus_outside,6
2017,Bombus_terrestris,B_low,Bombus_inside,10
2017,Bombus_terrestris,BF_x,Bombus_inside,9
2017,Bombus_terrestris,BB_x,Bombus_inside,13
2017,Bombus_terrestris,BB_x,Bombus_inside,6
2017,Bombus_terrestris,OB_x,Bombus_inside,5
2017,Bombus_terrestris,OB,Bombus_inside,6
2017,Bombus_terrestris,B,Bombus_inside,18
2017,Bombus_terrestris,B_x,Bombus_inside,11
2017,Bombus_terrestris,BF,Bombus_inside,7
2017,Bombus_terrestris,BB,Bombus_inside,14
2017,Bombus_terrestris,BB,Bombus_inside,16
2017,Bombus_terrestris,B_low,Larvae,18
2017,Bombus_terrestris,BF_x,Larvae,18
2017,Bombus_terrestris,BB_x,Larvae,15
2017,Bombus_terrestris,BB_x,Larvae,12
2017,Bombus_terrestris,OB_x,Larvae,11
2017,Bombus_terrestris,OB,Larvae,10
2017,Bombus_terrestris,B,Larvae,26
2017,Bombus_terrestris,B_x,Larvae,7
2017,Bombus_terrestris,BF,Larvae,13
2017,Bombus_terrestris,BB,Larvae,8
2017,Bombus_terrestris,BB,Larvae,6
2017,Bombus_terrestris,B_low,Pots,6
2017,Bombus_terrestris,BF_x,Pots,14
2017,Bombus_terrestris,BB_x,Pots,15
2017,Bombus_terrestris,BB_x,Pots,7
2017,Bombus_terrestris,OB_x,Pots,9
2017,Bombus_terrestris,OB,Pots,12
2017,Bombus_terrestris,B,Pots,11
2017,Bombus_terrestris,B_x,Pots,7
2017,Bombus_terrestris,BF,Pots,11
2017,Bombus_terrestris,BB,Pots,9
2017,Bombus_terrestris,BB,Pots,8
2017,Bombus_terrestris,B_low,larvae_group,0
2017,Bombus_terrestris,BF_x,larvae_group,3
2017,Bombus_terrestris,BB_x,larvae_group,7
2017,Bombus_terrestris,BB_x,larvae_group,0
2017,Bombus_terrestris,OB_x,larvae_group,0
2017,Bombus_terrestris,OB,larvae_group,3
2017,Bombus_terrestris,B,larvae_group,14
2017,Bombus_terrestris,B_x,larvae_group,12
2017,Bombus_terrestris,BF,larvae_group,8
2017,Bombus_terrestris,BB,larvae_group,8
2017,Bombus_terrestris,BB,larvae_group,7
2017,Lucilia_sericata,OF,Eggs,0
2017,Lucilia_sericata,F_low,Eggs,80
2017,Lucilia_sericata,F,Eggs,50
2017,Lucilia_sericata,BF_x,Eggs,NA
2017,Lucilia_sericata,BF,Eggs,NA
2017,Lucilia_sericata,FF,Eggs,0
2017,Lucilia_sericata,OF,Larvae,0
2017,Lucilia_sericata,F_low,Larvae,90
2017,Lucilia_sericata,F,Larvae,100
2017,Lucilia_sericata,BF_x,Larvae,NA
2017,Lucilia_sericata,BF,Larvae,NA
2017,Lucilia_sericata,FF,Larvae,0
2017,Lucilia_sericata,OF,Liver_holes,7
2017,Lucilia_sericata,F_low,Liver_holes,25
