number,link,treatment,pot,focal,background_T,background_R,background_H,fruit_number,exclusion,Notes,mean_weigthxseed,mean_seedsxfruit,total_seeds,total_seed_weigth
1,B H,B,3,H,0,1,0,3,0,NA,NA,2.5,7.5,NA
2,B H,B,3,H,0,2,0,5,0,NA,NA,2.5,12.5,NA
3,B H,B,4,H,0,0,0,3,0,NA,NA,2.5,7.5,NA
4,B H,B,4,H,0,0,0,2,0,NA,NA,2.5,5,NA
5,B H,B,4,H,3,0,0,3,0,NA,NA,2.5,7.5,NA
6,B H,B,5,H,1,2,0,2,0,NA,NA,2.5,5,NA
7,B H,B,5,H,0,0,0,3,0,NA,NA,2.5,7.5,NA
8,B H,B,5,H,0,0,0,2,0,NA,NA,2.5,5,NA
9,B H,B,5,H,1,1,0,4,0,NA,NA,2.5,10,NA
10,B H,B,6,H,2,0,0,2,0,NA,NA,2.5,5,NA
11,B H,B,6,H,1,0,0,1,0,NA,NA,2.5,2.5,NA
12,B H,B,6,H,1,1,0,2,0,NA,NA,2.5,5,NA
13,B H,B,9,H,2,0,0,1,0,NA,NA,2.5,2.5,NA
14,B H,B,1,H,0,1,0,1,0,NA,NA,2.5,2.5,NA
15,B H,B,2,H,0,1,0,1,0,NA,NA,2.5,2.5,NA
16,B H,B,4,H,0,1,0,2,0,NA,NA,2.5,5,NA
17,B H,B,10,H,0,0,0,2,0,NA,NA,2.5,5,NA
18,B H,B,10,H,0,0,0,2,0,NA,NA,2.5,5,NA
19,B H,B,10,H,0,0,0,1,0,NA,NA,2.5,2.5,NA
20,B R,B,2,R,0,1,0,3,0,NA,NA,5.5,16.5,NA
21,B R,B,2,R,1,0,0,19,0,NA,NA,5.5,104.5,NA
22,B R,B,4,R,1,0,0,3,0,NA,NA,5.5,16.5,NA
23,B R,B,6,R,0,1,0,3,0,NA,NA,5.5,16.5,NA
24,B R,B,7,R,0,1,0,14,0,NA,NA,5.5,77,NA
25,B R,B,7,R,0,1,0,8,0,NA,NA,5.5,44,NA
26,B R,B,8,R,0,1,0,4,0,NA,NA,5.5,22,NA
27,B R,B,8,R,0,2,0,2,0,NA,NA,5.5,11,NA
28,B R,B,8,R,1,2,0,17,0,NA,NA,5.5,93.5,NA
29,B R,B,8,R,0,3,0,3,0,NA,NA,5.5,16.5,NA
30,B R,B,8,R,0,3,0,17,0,NA,NA,5.5,93.5,NA
31,B R,B,8,R,1,1,0,12,0,NA,NA,5.5,66,NA
32,B R,B,8,R,0,1,0,11,0,NA,NA,5.5,60.5,NA
33,B R,B,1,R,0,1,0,8,0,NA,NA,5.5,44,NA
34,B R,B,1,R,0,3,0,1,0,NA,NA,5.5,5.5,NA
35,B R,B,1,R,0,2,0,6,0,NA,NA,5.5,33,NA
36,B R,B,1,R,0,4,0,8,0,NA,NA,5.5,44,NA
37,B R,B,1,R,0,1,0,10,0,NA,NA,5.5,55,NA
38,B R,B,2,R,1,0,0,11,0,NA,NA,5.5,60.5,NA
39,B R,B,2,R,0,1,0,23,0,NA,NA,5.5,126.5,NA
40,B R,B,2,R,0,1,0,9,0,NA,NA,5.5,49.5,NA
41,B R,B,2,R,1,1,0,13,0,NA,NA,5.5,71.5,NA
42,B T,B,6,T,0,1,0,3,0,NA,NA,21,63,NA
43,B T,B,6,T,0,3,0,2,0,NA,NA,21,42,NA
44,B_low H,B_low,1,H,1,1,0,2,0,NA,0.925936333,2.4,4.8,4.4444944
45,B_low H,B_low,1,H,1,0,0,1,0,NA,0.925936333,2.4,2.4,2.2222472
46,B_low H,B_low,2,H,1,2,0,1,0,NA,0.925936333,2.4,2.4,2.2222472
47,B_low H,B_low,2,H,0,1,0,2,0,NA,0.925936333,2.4,4.8,4.4444944
48,B_low H,B_low,3,H,0,0,0,1,0,NA,0.925936333,2.4,2.4,2.2222472
49,B_low H,B_low,3,H,2,0,0,1,0,NA,0.925936333,2.4,2.4,2.2222472
50,B_low H,B_low,3,H,2,0,0,2,0,NA,0.925936333,2.4,4.8,4.4444944
51,B_low H,B_low,3,H,0,0,0,3,0,NA,0.925936333,2.4,7.2,6.6667416
52,B_low H,B_low,3,H,1,1,0,3,0,NA,0.925936333,2.4,7.2,6.6667416
53,B_low H,B_low,4,H,2,0,0,1,0,NA,0.925936333,2.4,2.4,2.2222472
